text,sentiment
досудебное расследование факту покупки енпф пакета облигаций тоо бузгул аурум начато инициативе национального банка рк сообщил директор департамента защиты прав потребителей финансовых услуг нацбанка казахстана александр терентьев основанием досудебного расследования стало обращение национального банка письмо ноября года обращение национального банка правоохранительные органы нам эта сделка показалась сомнительной недостаточно корректной поэтому нацбанк ноября года обратился правоохранительные органы это могу озвучить сегодня ид т следствие проводится проверка сказал терентьев декабря нацбанке заявили знают стало основанием проверки енпф декабря факт проведения проверки ао единый накопительный пенсионный фонд подтвердился пресс служба национального банка сообщила проверку проводят операциям соверш нным ао енпф отношении инвестирования собственных активов также финрегуляторе сообщали сделке енпф сумму пять млрд заведено уголовное дело нацбанке заверяют вс происходящее затрагивает пенсионных накоплений казахстанцев нашли ошибку тексте выделите мышью нажмите,negative
медики рассказали состоянии пострадавшего мужчины которого совершено нападение возле отделения банка тимирязева прокомментировали пресс службе управления здравоохранения алматы места происшествия службу скорой помощи обратились двое человек одному месте оказана медицинская помощь госпитализации отказался второй пациент доставлен больницу скорой неотложной помощи бснп сотрясением головного мозга ушибленной раной головы состояние данный момент оценивается ближе удовлетворительному пока проходит обследование больнице сообщили управлении здравоохранения алматы напомним алматы пересечении улиц тимирязева маркова возле бц алатау гранд произошла стрельба ориентировочно обеденное время здании расположены отделения банков втб сбербанк настоящее время полицейские разыскивают подозреваемых стрельбе факту нападения местном управлении внутренних дел начато досудебное расследование статье ук рк разбой создана специальная следственно оперативная группа числа опытных сотрудников подразделений криминальной полиции настоящий момент проводится комплекс оперативных следственных мероприятий направленных установление личностей нападавших задержание ранее ао банк втб казахстан прокомментировали нападение мужчину данным пресс службы банка отделения банка работают штатном режиме применением усиленных мер безопасности сотрудники полиции работают внутри отделения банка втб место происшествия оцеплено,negative
прошел год железнодорожным операторам запретили эксплуатировать вагоны продленным сроком службы г списано около вагонов списала первая грузовая компания владимира лисина вагонов федеральная грузовая компания фгк дочерняя структура ржд около вагонов одной стороны списание вагонов приведет постепенному восстановлению арендной ставки способствовать росту инвестиционной привлекательности покупки новых вагонов повысит спрос стимулируя положительную динамику производства отрасли говорится мониторинге ситуации экономике россии январе ноябре г подготовленном минэкономразвития стороны сокращение вагонного парка счет старых вагонов обновление новыми приведет стремлению быстрее окупить приобретение приведет росту тарифов перевозок увеличивая нагрузку грузоотправителей связи присутствует риск сокращения грузооборота железнодорожным транспортом добавляют авторы отмечая тенденции могут усилиться возникнет дефицит некоторым видам вагонов сокращения парка дефицит операторы регулятор расходятся мнении создался итоге дефицит вагонов представитель уверен рынке дефицита вагонов зачастую подобных репликах понятием дефицит вагонов подменяют факт отсутствия ценовых предложений уровнем ниже рыночного правило речь идет локальной нехватке полувагонов перевозки низкодоходных грузов эта локальная нехватка имеет временный характер объясняет собеседник высоком рынке всем важно вывезти груз любой ценой ситуации сколько вагонов дай мало подчеркивает гендиректор железнодорожного оператора восток владимир сосипаторов представитель фгк замечает локальный дефицит считает отчасти обусловлен высокими простоями станциях погрузки выгрузки числе подъездных путях грузовладельцев гендиректор аналитики михаил бурмистров обнаружил эффект дефицита создается выбывает старый подвижной состав которым основном перевозятся строительные грузы который направляться например грейферную разгрузку замещается инновационными вагонами перевозки которых осуществляются преимущественно маршрутами структуре грузов превалируют уголь руда минеральные удобрения квартале г единственные операторы неинновационных полувагонов обладающие парком который предоставлен спотовом рынке краткосрочных контрактов фгк тфм оператор остальные крупные игроки либо сами сталкиваются дефицитом парка списания либо перевозят грузы долгосрочным контрактам время кварталу сократились возможности операторов повышать эффективность использования парка полувагонов выводя ремонта начало г ремонте находилось единиц парка начало г парка октябрь г единиц сентября г парк полувагонов перестал сокращаться октябре впервые последние месяцев закупки полувагонов оказались выше объемов списания целом парк полувагонов октябрь вырос примерно единиц превысил ставки выросли менее последние полгода ставка предоставления вагона значительно выросла это обеспокоило фас начала осени антимонопольное ведомство начало задумываться ограничить рост одним вариантов стала разработка методики определения монопольно высокой монопольно низкой цены которой устанавливался некий нормативный уровень отклонение признавалось нарушением работу фас направлении блокировали операторы обратившись президенту владимиру путину результат фас приостановила разработку методики конце октября служба завела дело против фгк ржд обвинив компании злоупотреблении доминирующим положением установлением монопольно высокой цены бурмистров указывает рост ставок начался летом собственники полувагонов отказывались заключать договоры аренды объясняя это доходность оперирования превышает руб сутки фоне продолжающегося списания парка положительной динамики перевозок грузооборота особенно сегменте строительных грузов фгк например предлагала клиентам рассмотреть ставку аренды уровне руб ндс знает эксперт таким образом начала лета ставки аренды спотовом рынке доходность оперирования выросли рост арендных ставок доходности оперирования полувагонами обусловил переориентацию части грузов крытые вагоны хопперы цементовозы которые оказались дешевыми доступными уровень ставок конце лета начале осени вырос основном инициативе самих грузоотправителей которые хотели гарантировать наличие вагонов любых обстоятельствах считает сосипаторов тенденция обратная ставки постепенно падают уверен квартале г ожидать снижения ставок предоставление полувагонов частично это произойдет перераспределения тарифной нагрузки грузоотправителей операторов других участников логистических цепочек рост ставок августа ноябрь спровоцирован резким увеличением платежеспособного спроса полувагоны стороны угольных компаний мировые цены уголь выросли несколько ведомости говорит представитель фгк спрос вагоны достиг своего максимума превысил возможности операторов обеспечению связи этим угольные предприятия желая получить гарантию предоставления вагонов стали заключать контракты соразмерным премиальным увеличением ставки это повлекло собой коррекцию рынка перераспределение вагонов клиентам долгосрочных гарантированных условиях объясняет ставки предоставления полувагонов году подросли прежнему позволяют обеспечить окупаемость вагонов замечает представитель высокие риски изменения спроса полувагоны средней долгосрочной перспективе лет длительный срок окупаемости вагонов способствуют активизации инвестиций сегмент рынка заключает представитель фгк спрос вагоны растет загрузить заказами вагоностроительные предприятия благодаря списанию старых вагонов особенно получилось ситуация рынке неустойчива новые вагоны покупают осторожно рассказывает гендиректор торговый дом тмх структура трансмашхолдинга дмитрий вонаков например перевозчики спешат подать заявки госсубсидии которые предоставляются приобретение некоторых видов новых грузовых вагонов это закономерно вызывает повышение спроса какова позиция государства будущем году пока ясно г предприятиях холдинга выпущено около грузовых вагонов хопперов фитинговых платформ трансмашхолдинга контракт производство фитинговых платформ трансойла который исполнен течение квартала г несколько небольших заказов единиц рассказывает вонаков всплеск спроса ограниченности оказывает влияния стоимость вагонов сегодня цены находятся уровне себестоимости подчеркивает топ менеджер корпорация уралвагонзавод увз планирует г выпустить раза грузовых вагонов г около вагонов примерно инновационные рассказывает представитель увз основные заказчики фгк суэк еврохим также транспортные компании ирана туркмении говорит одной стороны наши потребители могут заплатить вагон цены которая сможет окупиться существующих ставках предоставления подвижного состава поставщики металла комплектующих первой половине года резко повысили отпускные цены результате нам г пришлось сохранять цены подвижной состав балансируя грани рентабельности делится представитель увз фактически вагоностроители г работают ценам г цены металлопрокат году сравнению г зависимости сортамента увеличились говорит собеседник ведомостей увз формирует портфель заказов г пул потребителей сохранится модельный ряд зависит сохранятся субсидии покупку инновационных вагонов признает представитель увз,negative
итогам месяцев года территории республики выпущено единиц автотранспортных средств сумму млрд тенге ниже результата годичной давности натуральном выражении ообщили союзе предприятий автомобильной отрасли казахстана казавтопром единиц пришлось легковую технику минус аналогичному значению года выпуск грузовых автомобилей казахстанских предприятиях итогам месяцев года вырос достиг ед производство автобусной техники отчетный период увеличилось отметки единицы основным фактором сокращения производственных показателей автопрома гг стал резкий спад рыночной активности итогам месяцев года официальными дилерами реализовано тыс автотранспортных средств категорий против тыс единиц году падение говорится распространенном сообщении менее динамика второй половины года свидетельствуют планомерном оздоровлении отрасли спад совокупных показателей производства замедлился январе июне года результатам месяцев сбыт отечественных автозаводов году составил единиц доля автомобилей локальной сборки достигла итогам месяцев года против году причем декабре года показатель обновил исторический рекорд составил автомобиля сбыта казахстанских автозаводов реализованы рамках государственной программы льготных автокредитов лидирующую позицию сегменте автомобилей локальной сборки занимает продукция ао азия авто проданных автомобилей суммарного сбыта отечественной легковой техники тоо сарыаркаавтопром отгружено единиц доля предприятия составила далее рейтинге сбыта продукции отечественных автопроизводителей расположились ао агромашхолдинг ед ао камаз инжиниринг ед тоо ед тоо семаз ед пят рку наиболее востребованных брендов легковых авто казахстанской сборки итогам месяцев г составили ед ед ед ед ед список марок предлагаемых отечественными предприятиями вошли также ед ед ед ед ед рейтинг продаж легковых моделей локального производства возглавили ед ед ед ед ед ед ед ед ед ед вклад предприятий автопрома структуру ввп республики итогам г достиг млрд тенге значительно превысив аналогичные показатели таких отраслей фармацевтическая млрд тенге текстильная промышленность млрд тенге приблизившись объемам выпуска легкой промышленности млрд тенге декабре года полностью освоены средства второго транша государственной программы льготных автокредитов напомним рамках программы стартовавшей апреле года нацфонда выделено млрд тенге целях кредитования физических лиц приобретение автомобилей казахстанской сборки номинальной ставке финансовые ресурсы программы сегодня освоены истекшие месяцев работы программы банком развития казахстана выдано кредитов общую сумму млрд тенге реализованных автомобилей пришлось модельный ряд завода ао азия авто заемщикам программы продано автомобиля собранных тоо сарыаркаавтопром единиц техники выпущенной ао агромашхолдинг,negative
астана ноября агентство рк делам государственной службы противодействию коррупции выражает обеспокоенность участившимися фактами коррупции квазигосударственном секторе сообщила пресс служба ведомства согласно сообщению результате мониторинга агентством выявлены серьезные коррупционные риски квазигосударственном секторе анализ показал рост коррупционных правонарушений данном направлении раза сравнению прошлым годом сфере основном преобладают факты хищения злоупотребления должностными полномочиями взяточничество осуществлении закупок реализации госпрограмм передает ведомстве напомнили антикоррупционной службой изобличены зампредседателя правления ао байтерек джакупов руководитель дирекции реализации госпрограмм айтимбетов управляющий директор сариев которые наладили преступную схему получению взяток организаций уральске кокшетау атырау актобе таразе талдыкоргане лоббирование интересов строительстве арендного жилья рамках госпрограммы нурлы жол данным пресс службы коррупционные преступления руководителями байтерек совершались течении длительного времени системной основе каждому отвадилась определенная роль рамках госпрограммы нурлы жол байтерек определен основным оператором строительству арендного кредитного жилья социально уязвимых слоев населения одним главных предпосылок создания коррупционных рисков ао байтерек являлось право самостоятельно устанавливать порядок отбора застройщиков определять соответствующие требования анализ выявил целый ряд дискреционных коррупциогенных норм деятельности байтерек прием заявок застройщиков осуществляется исключительно напрямую путем обращения ао бумажном формате необоснованно определен значительный перечень представляемых документов процесс рассмотрения документов сведен прохождению многочисленных этапов оператор наделен правом отправить проект доработку либо вообще отказать рассмотрении состав комиссии отбору проектов состоит исключительно руководителей представителей заинтересованных подразделений ао искусственно созданные барьеры отсутствие открытости широта дискреционных полномочий безусловно явились условиями коррупции подчеркнули ведомстве аналогичные преступления участием первых руководителей пресечены госкорпарациях астана экспо ао нк спк астана спк жетысу ао ктж ао казахтелеком ао международный центр приграничного сотрудничества хоргос ао казмунайгазон мдер других анализ показал зарегистрированных коррупционных преступлений квазигосударственном секторе совершается рамках закупок отмечается сообщении первопричиной сложившейся ситуации стало отсутствие единых подходов осуществлении закупок информационно аналитической платформы недостаточный уровень прозрачности преобладание административных способов регулирования вместе документы проходят процедуры публичного обсуждения согласования проведения экспертизы регистрации органах юстиции нормативные правовые акты разработка утверждение отданы откуп самим холдингам компаниям ведомстве также выявили системе закупок квазигоссектора практически отсутствуют механизмы контроля отслеживается ход проведения публикуются результаты заявки отдельных компаниях прежнему принимаются бумажном формате исключения коррупционных рисков данной сфере агентство предлагает кардинально пересмотреть подходы проведению закупок квазигосударственном секторе разработкой отдельного нормативного правового акта внедрением современных механизмов электронных закупок провести масштабную ревизию внутренних документов национальных холдингов компаний регламентирующих порядок расходования госсредств путем создания специальную рабочей группы числа представителей заинтересованных госорганов субъектов квазигосударственного сектора нпп атамекен распространить нормы закона правовых актах порядке разработки обсуждения принятия регистрации введения действие опубликования внутренние документы квазигосударственного сектора кроме предлагается рассмотреть вопрос проведении аудита финансово хозяйственной деятельности субъектов квазигосударственного сектора комплексного анализа нацкомпаний дочерних организаций предмет эффективности прибыльности результативности внести соответствующие изменения правила отбора финансирования проектов жилищного строительства рамках программы нурлы жол исключающие коррупционные дискреционные нормы предусмотреть механизмы открытости прозрачности принимаемых решений внедрением института общественного контроля просмотров использовании информации сайта гиперссылка информационное агентство обязательна авторские права материалы агентства заметили ошибку сайте выделите текст нажмите,negative
аресте бывшего министра национальной экономики казахстана куандыка бишимбаева сроком месяца сегодня азаттыку сообщили пресс службе городского суда астаны вчера истек срок течение которого следствие должно предъявить обвинение процессуальный суд санкционировать меру пресечения ранее сегодня пресс служба национального бюро противодействию коррупции сообщила судом алматинского района астаны января отношении куандыка бишимбаева избрана мера пресечения арест задержании бишимбаева подозрению получении взяток стало известно января водворили изолятор временного содержания двд астаны антикоррупционной службе заявили бывший министр задержан факту неоднократного получения взяток особо крупном размере группе лиц предварительному сговору отставку бишимбаева конце декабря года связывают работой должности руководителя холдингом байтерек ноябре года началось досудебное антикоррупционное расследование отношении руководства компании байтерек входящей состав национального холдинга байтерек следователи подозревают топ менеджеров байтерек получении миллионов тенге взяток строительных компаний якобы лоббирование интересов закупках услуг строительству арендного жилья рамках госпрограммы н рлы жол среди арестованных этому делу значится заместитель председателя правления байтерек аслан джакупов сын бывшего акима западно казахстанской области бывшего спикера мажилиса парламента кабибуллы джакупова председателем нижней палаты апреля года март года,negative
двое налетчиков совершили нападение охранника банка центркредит алматы завладели оружием сообщает пресс служба двд алматы сегодня центр оперативного управления двд города алматы поступило сообщение нападении охранника одного отделений банка центркредит алмалинском районе алматы результате двое неустановленных лиц завладели оружием говорится сообщении неподтвержденным данным чрезвычайное происшествие случилось отделении которое находится улице маметовой улицами сейфуллина дзержинского информирует ведомство настоящее время городу объявлен спецплан сирена отрабатывается комплекс оперативных мероприятий которые направлены розыск задержание преступников,negative
самрук энерго квартале вдвое снизила чистую прибыль мсфо астана мая интерфакс казахстан ао самрук энерго январе марте года получило чистую прибыль размере млрд тенге раза меньше первом квартале года говорится консолидированной финотчетности компании мсфо получения полных текстов публикаций воспользуйтесь платной подпиской,negative
году половина коррупционных преступлений системе вооруженных сил рк выявлено местных органах военного управления зарегистрировано взяток выдаче военных билетов предоставлению отсрочки призыва воинскую службу сообщается ответе пресс службы министерства обороны рк официальный запрос казинформ отмечают ведомстве месяцев года вооруженными силами мо рк зарегистрировано коррупционных преступления сравнении аналогичным периодом года данный показатель снизился фактов х коррупционных правонарушений несмотря положительную динамику принимаемые меры продолжает вызывать обеспокоенность уровень коррупции местных органах военного управления которыми учтено наибольшее количество коррупционных преступлений зарегистрированных вооруженными силами коррупционных преступлений составляет говорится мо рк указанных коррупционных преступлений факты взяточничества выдаче военных билетов составили предоставлении отсрочки призыва оказании содействия поступлении военно технические школы оказании содействия трудоустройстве уточняют ведомстве настоящее время ведется работа устранению причин условий возникновения коррупции органах делам обороны кроме министерством обороны разработан проект правил поведения действий военнослужащих вооруженных сил направленных предупреждение коррупции вооруженных силах антикоррупционные стандарты числе оказании государственных услуг выдаче военных билетов проект размещен сайте министерства обороны любой желающий мог ознакомиться внести свои предложения заключили минобороне просмотров комментариев,negative
чт янв фигурантов дела коррупции ао байтерек управляющий директор компании дильрух анарбай году осужд н статье ук рк старой редакции заведомо ложное сообщение акте терроризма неудачную шутку поясе шахида борту самолета астане приговор н тр м годам колонии сообщает дильрух анарбай года рождения уроженец жамбылской области женат имеет высшее образование разные годы работал министерстве юстиции рк однако году момент получения судимости документации делу числился безработным стало известно приговора апреля года дильрух анарбай будучи пьяным зале ресторана пивница совершил звонок зал международного аэропорта астаны сообщил утренним рейсом алматы вылетает некая юля петрова которой пояс шахидки ложное сообщение причинило ущерб государству тенге поскольку самодельное взрывное устройство найдено суде анарбай позже утверждал предстоящем теракте услышал туалете увеселительного заведения бочонок одной кабинок некий мужчина разговаривая телефону произнес фразу юлька утром улетает алмату поясом шахида придал этому значение однако позже приехав своем пивницу тр мя знакомыми девушками узнал одна завтра собирается лететь алматы итоге якобы решил проявить бдительность позвонив столичный аэропорт поднявшему трубку инспектору службы досмотра мужчина представился димашем сообщил имя предполагаемой террористки фамилию признанию назвал наугад описав внешность своей знакомой увидел галина сидит красном платье сказал красное платье блондинка пошутил похожа мерилин монро вызвать подозрение приводятся материалах дела показания анарбая ходе судебного заседания также допрошена одна девушек которая вечер находилась компании анарбая е словам произошедшее шуткой держа свой сотовый телефон димаш приложив уху начал говорить следующее здравствуйте аэропорт утром алматы вылетает блондинка похожая мерилин монро красном платье поясом шахидки тебе разница тебе звонит такая вообще сидоров е фамилия подождите узнаю убрав свой сотовый телефон сторону попытался узнать фамилию девушки думая вс это делает шутку сказала фамилию петрова поднеся вновь свой сотовый телефон уху сказал петрова юля узнай пошла рассказала суде свидетельница суд признал доводы подсудимого несостоятельными расценил попытку уйти ответственности действия дильруха анарбая определены ложное сообщение готовящемся акте терроризма статье ук рк старой редакции решением суда есильского района столицы дильрух анарбай приговор н трем годам колонии общего режима судья также обязал компенсировать причин нный государству ущерб процессуальные издержки размере около тенге,negative
